"oi_emp_pfk";"cam_agua_servida_destino";"cam_captacao_agua_subt";"cam_tp_poco";"cam_profundidade_poco";"asb_nu_profundidadefinal";"cam_utilizacao_poco";"cam_realizacao_car";"cam_captacoes_comple";"cam_capta_lanca_futuro"
"30615";"Fossa Séptica";"t";"Tubular";"De 5 a 10 metros";"";"Poço Ativo";"Realizado";"Poço";"Não consta"
"30616";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30617";"Fossa Seca";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30618";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Ampliação do Açude"
"30619";"Lançamento em Curso d''água";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30620";"Fossa Séptica";"f";"";"";"";"";"Não se aplica";"Rede Pública";"Não consta"
"30621";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30622";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30623";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30624";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30625";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Poço";"Não consta"
"30626";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30627";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30628";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30629";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Rede Pública";"Não consta"
"30630";"Fossa Séptica/Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente/Poço";"Não consta"
"30631";"Fossa Séptica/Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30632";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Ampliação do Açude"
"30633";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Ampliação para Micro Aspersão"
"30634";"Lançamento no Solo";"t";"Tubular";"De 5 a 10 metros";"";"Poço Ativo";"Realizado";"Nascente";"Ampliação do Açude"
"30635";"Fossa Séptica/Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Ampliação do Açude"
"30636";"Fossa Séptica/Lançamento no Solo";"t";"Tubular";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30637";"Lançamento em Curso d''água/Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30638";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30639";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente/Poço";"Não consta"
"30640";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente/Poço";"Não consta"
"30641";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente/Poço";"Não consta"
"30642";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30643";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30644";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30645";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Nascente/Poço";"Não consta"
"30646";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30647";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30648";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30649";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30650";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar/Nascente";"Não consta"
"30651";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30652";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30653";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30654";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30655";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30656";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30657";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Nascente";"Não consta"
"30658";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não definido";"Não consta"
"30659";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Água de Consumo Mineral";"Não consta"
