"cap_int_pfk";"cam_info_adici_consumo";"int_tsu_cd"
"173360";"Nenhum Outro Uso";"Subterrânea"
"173361";"Nenhum Outro Uso";"Subterrânea"
"173362";"Nenhum Outro Uso";"Subterrânea"
"173363";"Nenhum Outro Uso";"Subterrânea"
"173364";"Nenhum Outro Uso";"Subterrânea"
"173365";"Nenhum Outro Uso";"Subterrânea"
"173366";"Nenhum Outro Uso";"Subterrânea"
"173367";"Nenhum Outro Uso";"Subterrânea"
"173368";"Nenhum Outro Uso";"Subterrânea"
"173369";"Nenhum Outro Uso";"Subterrânea"
"173370";"Nenhum Outro Uso";"Subterrânea"
"173371";"Consumo Humano/Pecuária";"Subterrânea"
"173372";"Consumo Humano/Pecuária";"Subterrânea"
"173373";"Consumo Humano/Pecuária";"Subterrânea"
"173374";"Consumo Humano/Pecuária";"Subterrânea"
"173375";"Consumo Humano/Pecuária";"Subterrânea"
"173376";"Consumo Humano";"Subterrânea"
"173377";"Consumo Humano";"Subterrânea"
"173378";"Consumo Humano";"Subterrânea"
"173379";"Consumo Humano";"Subterrânea"
"173380";"Consumo Humano";"Subterrânea"
"173381";"Consumo Humano";"Subterrânea"
"173382";"Consumo Humano";"Subterrânea"
"173383";"Consumo Humano";"Subterrânea"
"173384";"Consumo Humano";"Subterrânea"
"173385";"Consumo Humano";"Subterrânea"
"173386";"Consumo Humano";"Subterrânea"
"173387";"Consumo Humano";"Subterrânea"
"173388";"Consumo Humano";"Subterrânea"
"173389";"Consumo Humano";"Subterrânea"
"173390";"Nenhum Outro Uso";"Subterrânea"
"173391";"Consumo Humano/Pecuária";"Subterrânea"
"173392";"Nenhum Outro Uso";"Subterrânea"
"173393";"Nenhum Outro Uso";"Subterrânea"
"173394";"Nenhum Outro Uso";"Subterrânea"
"173395";"Nenhum Outro Uso";"Subterrânea"
"173396";"Nenhum Outro Uso";"Subterrânea"
"173397";"Nenhum Outro Uso";"Subterrânea"
"173398";"Nenhum Outro Uso";"Subterrânea"
"173399";"Nenhum Outro Uso";"Subterrânea"
"173400";"Nenhum Outro Uso";"Subterrânea"
"173401";"Nenhum Outro Uso";"Subterrânea"
"173402";"Consumo Humano";"Subterrânea"
"173403";"Consumo Humano/Pecuária";"Subterrânea"
"173404";"Nenhum Outro Uso";"Subterrânea"
"173405";"Consumo Humano";"Subterrânea"
"173406";"Consumo Humano";"Subterrânea"
"173407";"Consumo Humano";"Subterrânea"
"173408";"Nenhum Outro Uso";"Subterrânea"
"173409";"Nenhum Outro Uso";"Subterrânea"
"173410";"Nenhum Outro Uso";"Subterrânea"
"173411";"Consumo Humano/Pecuária";"Subterrânea"
"173412";"Consumo Humano";"Subterrânea"
"173413";"Consumo Humano/Pecuária";"Subterrânea"
"173414";"Consumo Humano";"Subterrânea"
"173415";"Consumo Humano";"Subterrânea"
"173416";"Consumo Humano";"Subterrânea"
"173417";"Consumo Humano/Pecuária";"Subterrânea"
"173418";"Consumo Humano/Pecuária";"Subterrânea"
"173419";"Consumo Humano";"Subterrânea"
"173420";"Consumo Humano/Pecuária";"Subterrânea"
"173421";"Nenhum Outro Uso";"Subterrânea"
"173422";"Nenhum Outro Uso";"Subterrânea"
"173423";"Nenhum Outro Uso";"Subterrânea"
"173424";"Nenhum Outro Uso";"Subterrânea"
"173425";"Consumo Humano";"Subterrânea"
"173426";"Nenhum Outro Uso";"Subterrânea"
"173427";"Nenhum Outro Uso";"Subterrânea"
"173428";"Pecuária";"Subterrânea"
"173429";"Consumo Humano";"Subterrânea"
"173430";"Nenhum Outro Uso";"Subterrânea"
"173431";"Nenhum Outro Uso";"Subterrânea"
"173432";"Consumo Humano";"Subterrânea"
"173433";"Consumo Humano";"Subterrânea"
"173434";"Nenhum Outro Uso";"Subterrânea"
"173435";"Consumo Humano";"Subterrânea"
"173436";"Consumo Humano";"Subterrânea"
"173437";"Consumo Humano";"Subterrânea"
"173438";"Consumo Humano";"Subterrânea"
"173439";"Consumo Humano";"Subterrânea"
"173440";"Consumo Humano";"Subterrânea"
