"pec_int_pfk";"cam_qt_equideo";"cam_qt_bovino";"cam_qt_ovino";"cam_qt_caprino";"cam_qt_suino";"cam_qt_ave";"cam_pec_outro";"cam_qt_outro"
"173665";"";"";"";"";"";"";"";""
"173666";"";"";"";"";"";"";"";""
"173667";"";"";"";"";"";"";"";""
"173668";"";"";"";"";"";"";"";""
"173669";"";"";"";"";"";"";"";""
"173670";"";"";"";"";"";"";"";""
"173671";"";"";"";"";"";"";"";""
"173672";"0";"11";"0";"0";"0";"0";"";""
"173673";"0";"11";"0";"0";"0";"0";"";""
"173674";"0";"11";"0";"0";"0";"0";"";""
"173675";"0";"11";"0";"0";"0";"0";"";""
"173676";"";"";"";"";"";"";"";""
"173679";"";"";"";"";"";"";"";""
"173680";"";"";"";"";"";"";"";""
"173681";"";"";"";"";"";"";"";""
"173682";"";"";"";"";"";"";"";""
"173683";"";"";"";"";"";"";"";""
"173684";"";"";"";"";"";"";"";""
"173685";"";"";"";"";"";"";"";""
"173686";"";"";"";"";"";"";"";""
"173687";"";"";"";"";"";"";"";""
"173688";"";"";"";"";"";"";"";""
"173689";"";"";"";"";"";"";"";""
"173690";"";"";"";"";"";"";"";""
"173691";"";"";"";"";"";"";"";""
"173692";"";"";"";"";"";"";"";""
"173693";"";"";"";"";"";"";"";""
"173694";"95";"80";"0";"0";"0";"0";"";""
"173695";"7";"15";"12";"7";"7";"40";"";""
"173696";"1";"5";"0";"0";"0";"0";"";""
"173698";"";"";"";"";"";"";"";""
"173699";"";"";"";"";"";"";"";""
"173700";"";"";"";"";"";"";"";""
"173703";"";"";"";"";"";"";"";""
"173704";"";"";"";"";"";"";"";""
"173705";"";"";"";"";"";"";"";""
"173706";"";"";"";"";"";"";"";""
"173707";"";"";"";"";"";"";"";""
"173708";"";"";"";"";"";"";"";""
"173709";"";"";"";"";"";"";"";""
"173710";"";"";"";"";"";"";"";""
"173711";"";"";"";"";"";"";"";""
"173713";"";"";"";"";"";"";"";""
"173715";"";"";"";"";"";"";"";""
"173717";"0";"0";"0";"28";"0";"5";"";""
"173718";"0";"4";"0";"0";"0";"0";"";""
"173719";"";"";"";"";"";"";"";""
"173720";"";"";"";"";"";"";"";""
"173721";"";"";"";"";"";"";"";""
"173722";"0";"3";"0";"0";"0";"0";"";""
"173723";"0";"3";"0";"0";"0";"10";"";""
"173724";"1";"2";"4";"0";"0";"0";"";""
"173725";"0";"7";"0";"2";"6";"8";"";""
"173726";"0";"2";"0";"0";"0";"30";"";""
"173727";"";"";"";"";"";"";"";""
"173728";"";"";"";"";"";"";"";""
"173729";"";"";"";"";"";"";"";""
"173730";"0";"3";"0";"0";"0";"0";"";""
"173732";"";"";"";"";"";"";"";""
"173733";"";"";"";"";"";"";"";""
"173734";"";"";"";"";"";"";"";""
"173737";"";"";"";"";"";"";"";""
"173739";"";"";"";"";"";"";"";""
"173741";"";"";"";"";"";"";"";""
"173742";"";"";"";"";"";"";"";""
"173744";"";"";"";"";"";"";"";""
"173745";"";"";"";"";"";"";"";""
"173747";"";"";"";"";"";"";"";""
"173748";"";"";"";"";"";"";"";""
"173749";"";"";"";"";"";"";"";""
"173750";"";"";"";"";"";"";"";""
"173751";"38";"0";"0";"0";"0";"0";"";""
